video_id,trending_date,views,likes,comment_count,previous_views,view_growth,view_growth_pct,view_velocity,engagement_rate,growth_score,engagement_score,trend_velocity_score,trend_status,velocity_percentile,engagement_percentile,emerging_trend_score,emerging_status,trend_alert,first_trending_date,days_since_first_trending,emerging_date,time_to_trend_days
dVC8ABg92fk,2017-12-02,287153,3822,523,191526.0,95627.0,49.92899136409678,0.4992899136409678,1.5131306307090646,70.81726354453627,58.5876225490196,67.14837124588126,Hot,70.81726354453627,58.5876225490196,65.9254071463296,Emerging,True,2017-12-01,1,2017-12-02,1.0
dVC8ABg92fk,2017-12-03,342118,4248,634,287153.0,54965.0,19.141363663273587,0.19141363663273586,1.4269930257981165,37.77165595347414,57.23651960784314,43.611115049784836,Growing,37.77165595347414,57.23651960784314,45.55760141522174,Growing,False,2017-12-01,2,2017-12-02,1.0
dVC8ABg92fk,2017-12-04,367733,4457,610,342118.0,25615.0,7.487182784887085,0.07487182784887085,1.37790190165147,12.935414753596572,56.50428921568628,26.006077092223485,Normal,12.935414753596572,56.50428921568628,30.362964538432458,Normal,False,2017-12-01,3,2017-12-02,1.0
dVC8ABg92fk,2017-12-05,379377,4521,628,367733.0,11644.0,3.166427815833771,0.03166427815833771,1.3572251348922049,4.670951943679216,56.142769607843135,20.11249724292839,Normal,4.670951943679216,56.142769607843135,25.259679009344783,Normal,False,2017-12-01,4,2017-12-02,1.0
dYRAtfuWyaA,2018-01-07,381175,2507,90,,,,,0.6813143569226733,,36.66053921568627,,,,36.66053921568627,,,False,2018-01-07,0,2018-01-08,1.0
dYRAtfuWyaA,2018-01-08,680377,3784,163,381175.0,299202.0,78.49465468616778,0.7849465468616778,0.5801195513663748,84.58524640342823,30.92830882352941,68.48816512945858,Hot,84.58524640342823,30.92830882352941,63.122471371468706,Emerging,True,2018-01-07,1,2018-01-08,1.0
dYRAtfuWyaA,2018-01-09,848585,4510,155,680377.0,168208.0,24.7227639970193,0.247227639970193,0.5497386826304966,46.991123354759715,29.22794117647059,41.662168701272975,Growing,46.991123354759715,29.22794117647059,39.88585048344407,Normal,False,2018-01-07,2,2018-01-08,1.0
dYdUOvB3l-Y,2018-01-21,21968,1003,47,,,,,4.779679533867444,,83.5906862745098,,,,83.5906862745098,,,False,2018-01-21,0,2018-01-22,1.0
dYdUOvB3l-Y,2018-01-22,55616,1671,82,21968.0,33648.0,153.16824471959214,1.5316824471959214,3.151970655926352,95.3474135292317,75.11029411764706,89.2762777057563,Viral,95.3474135292317,75.11029411764706,87.25256576459785,Hot,True,2018-01-21,1,2018-01-22,1.0
dYdUOvB3l-Y,2018-01-23,72892,2002,103,55616.0,17276.0,31.063003452243958,0.3106300345224396,2.887834055863469,54.92500765228038,73.30269607843137,60.43831418012567,Hot,54.92500765228038,73.30269607843137,62.27608302274077,Emerging,True,2018-01-21,2,2018-01-22,1.0
dZ0fwJojhrs,2017-12-15,8063475,299588,13354,,,,,3.880981834754867,,79.54656862745098,,,,79.54656862745098,,,False,2017-12-15,0,2017-12-16,1.0
dZ0fwJojhrs,2017-12-16,11193405,354636,16131,8063475.0,3129930.0,38.81614316408248,0.38816143164082484,3.3123700964987868,62.39975512702786,76.24387254901961,66.55299035362538,Hot,62.39975512702786,76.24387254901961,67.93740209582455,Emerging,True,2017-12-15,1,2017-12-16,1.0
dZ0fwJojhrs,2017-12-17,14540320,408850,18529,11193405.0,3346915.0,29.900776394671684,0.29900776394671685,2.9392681866698944,53.437404346495256,73.63664215686273,59.4971756896055,Growing,53.437404346495256,73.63664215686273,61.51709947064225,Emerging,True,2017-12-15,2,2017-12-16,1.0
dZ0fwJojhrs,2017-12-18,17678745,449749,23630,14540320.0,3138425.0,21.58429112976881,0.21584291129768812,2.6776731040580084,42.00183654729109,71.69117647058823,50.90863852428023,Growing,42.00183654729109,71.69117647058823,53.877572516609945,Growing,False,2017-12-15,3,2017-12-16,1.0
dZ0fwJojhrs,2017-12-19,20956090,488364,25744,17678745.0,3277345.0,18.538335158971975,0.18538335158971975,2.453262989422168,36.60850933578207,69.78247549019608,46.56069918210627,Growing,36.60850933578207,69.78247549019608,49.87809579754767,Growing,False,2017-12-15,4,2017-12-16,1.0
dZ0fwJojhrs,2017-12-20,24248933,522839,27454,20956090.0,3292843.0,15.713060022170167,0.15713060022170167,2.2693493359068624,31.019283746556475,67.91973039215686,42.089417740236584,Growing,31.019283746556475,67.91973039215686,45.77946240479663,Growing,False,2017-12-15,5,2017-12-16,1.0
dZE0UU58Nko,2017-12-22,139864,3956,917,,,,,3.484098838872047,,77.28860294117646,,,,77.28860294117646,,,False,2017-12-22,0,2017-12-23,1.0
