video_id,trending_date,views,view_growth,view_growth_pct,view_velocity,engagement_rate,emerging_trend_score,emerging_status,trend_alert
HJLiyZ618-Q,2018-06-07,423665,67968.0,19.108398440245487,0.1910839844024549,0.4843449423483176,32.67651447631395,Normal,False
TCXSqzLX_80,2018-01-28,125028,19784.0,18.79822127627228,0.18798221276272278,0.49988802508238156,32.67072800194458,Normal,False
wuFxGmObK9c,2018-03-12,284566,35986.0,14.476627242738758,0.14476627242738757,0.7295319890640484,32.67059633770864,Normal,False
xWi8nDUjHGA,2018-01-02,34631260,2095642.0,6.4410702141880325,0.06441070214188033,2.033942744214331,32.66439461459515,Normal,False
F4byPDP1Ln0,2018-06-11,134453,4813.0,3.712588707189139,0.03712588707189139,2.9289045242575473,32.66246353913466,Normal,False
y-hg-wS732I,2018-06-07,1976731,54069.0,2.8121947591412324,0.028121947591412323,3.1903177518842982,32.66068100794036,Normal,False
9dSxRSbEZd4,2017-12-18,2526833,162015.0,6.851055768350883,0.06851055768350883,1.9264035256781906,32.657821530816186,Normal,False
be9PUK5SbZY,2018-01-29,223068,21708.0,10.780691299165673,0.10780691299165673,1.1193896031703339,32.65671420083185,Normal,False
vn9mMeWcgoM,2017-12-13,35342725,2527843.0,7.703343257489087,0.07703343257489087,1.7172501554421737,32.6531795224977,Normal,False
_lg8sNpeOUM,2018-04-28,385068,53.0,0.013765697440359468,0.00013765697440359467,3.64818681375757,32.645816453303084,Normal,False
VNtqIq8PfXk,2018-02-14,1221271,231185.0,23.3499918188925,0.23349991818892502,0.319994497535764,32.644337762653265,Normal,False
eHoSVRXgUCc,2018-05-03,1140430,0.0,0.0,0.0,3.949036766833563,32.635398098633395,Normal,False
5hLsZ7oHd8E,2018-04-07,368765,67594.0,22.443727981777794,0.22443727981777795,0.3519856819383618,32.62550640090747,Normal,False
g_AotHkf5QE,2018-05-17,464779,50765.0,12.26166264908916,0.12261662649089161,0.9277527599138515,32.61321773888619,Normal,False
ng4pyzyrIb4,2018-03-28,601680,79610.0,15.24891298101787,0.1524891298101787,0.6771041084962106,32.60720844811753,Normal,False
ahMla-qYPT4,2018-05-07,448896,77143.0,20.751143904689403,0.20751143904689404,0.4170230966638152,32.60506468427591,Normal,False
LFSacMbImys,2018-04-17,1032723,0.0,0.0,0.0,3.930192316816804,32.604148098633395,Normal,False
KDDjr92sFpU,2017-12-07,117457,18128.0,18.250460590562675,0.18250460590562675,0.5227444937296202,32.60390671420083,Normal,False
YWZXjZKhivg,2018-03-13,615450,47065.0,8.280478900745093,0.08280478900745093,1.567145990738484,32.594865769999465,Normal,False
DgSmouILilI,2018-02-18,320240,36689.0,12.93911853599529,0.1293911853599529,0.8599800149887584,32.57687503376006,Normal,False
6GXZ60NCiuQ,2018-01-19,850707,116141.0,15.810832518793411,0.1581083251879341,0.6429945915573753,32.57469750985794,Normal,False
mMCEvr3VWqQ,2018-06-01,7431077,283391.0,3.9647936409070015,0.039647936409070016,2.8191337540978245,32.56667274347756,Normal,False
zMN0JR0dF4I,2017-11-30,330439,61125.0,22.69655495072666,0.2269655495072666,0.34106143645271897,32.565258196942686,Normal,False
ZutqQBGiEFU,2018-01-09,621886,78277.0,14.399504055304458,0.14399504055304457,0.7290725309783465,32.56039674823097,Normal,False
VhO2zRMhUcU,2018-06-14,752876,159887.0,26.96289475858743,0.2696289475858743,0.19564974843134858,32.55947172257333,Normal,False
nLSaCFlXn-g,2017-12-24,10860875,764764.0,7.57483747950077,0.0757483747950077,1.7276600642213449,32.55773307945768,Normal,False
GDKIIbrAfaw,2017-12-05,304939,51794.0,20.460210551265085,0.20460210551265084,0.425003033393564,32.55754064711284,Normal,False
WCbfcSnmOn8,2017-11-21,126977,28637.0,29.120398617042913,0.29120398617042914,0.10868109972672216,32.55312820720574,Normal,False
RF7DhGIQE1k,2018-01-07,12856355,667337.0,5.4749037207099045,0.05474903720709905,2.3201755085325506,32.55036663425701,Normal,False
mhV_vlCc2y8,2017-11-16,63292,13389.0,26.8300502975773,0.268300502975773,0.19907729254882134,32.542399259979476,Normal,False
WXN8BzAsi3A,2017-11-15,1257923,83570.0,7.1162589102254605,0.0711625891022546,1.8337370411384482,32.54232498784638,Normal,False
EWSZDYafj38,2017-12-07,166389,20860.0,14.333912828370979,0.1433391282837098,0.7320195445612391,32.54209541943499,Normal,False
pRop_zhTiYs,2017-12-07,283250,26153.0,10.17242519360397,0.1017242519360397,1.1841129744042365,32.54096445740831,Normal,False
zVtDaUn6iYg,2018-06-14,195551,41139.0,26.642359402119002,0.26642359402119004,0.20455021963579836,32.53884094960298,Normal,False
rGwu4PZGdAQ,2017-11-30,91407,20274.0,28.5015393699127,0.285015393699127,0.13675101469252904,32.535147598984494,Normal,False
6OTzIh3xRZs,2018-04-17,637583,85732.0,15.535352839806396,0.15535352839806396,0.6576398680642364,32.53089383136175,Normal,False
KhI4xzwYImA,2018-03-30,6788618,539756.0,8.637668746725403,0.08637668746725403,1.4804633284712736,32.52576905417814,Normal,False
SwSnoB3Wgr4,2017-11-24,369501,57955.0,18.60238937428181,0.1860238937428181,0.501216505503368,32.51650191757144,Normal,False
yNHtyP1DyE0,2018-01-25,1354919,289741.0,27.201181398789686,0.27201181398789687,0.18414384918950874,32.49680629827688,Normal,False
AREQS-6zfWA,2017-12-07,569568,65347.0,12.959991749649461,0.1295999174964946,0.8509958424630598,32.48738724139794,Normal,False
cwi0KsPqej0,2017-12-09,47357,7742.0,19.54310236021709,0.1954310236021709,0.46033321367485275,32.480047804245665,Normal,False
yTjmwsla5Vs,2018-01-09,2164560,452082.0,26.399288049247932,0.2639928804924793,0.21131315371253281,32.47776224814995,Normal,False
UJgsdX8NUnI,2017-12-20,83370,18497.0,28.512632374023088,0.2851263237402309,0.13194194554396066,32.46895762437206,Normal,False
EpV9_R_6hLA,2017-11-30,217089,25726.0,13.443560144855587,0.13443560144855587,0.8033571484506354,32.46838370334359,Normal,False
4BjTHvJZ8IQ,2018-02-13,6605183,403763.0,6.510815264890944,0.06510815264890944,1.9679999781989386,32.46332644628099,Normal,False
7h5MlTPG3YM,2017-12-11,135419,23686.0,21.19875059293136,0.21198750592931362,0.39211632045724754,32.46245881272619,Normal,False
6NAISxSPVSQ,2017-11-24,1649389,136635.0,9.032202195466017,0.09032202195466016,1.379359265764474,32.45418759790418,Normal,False
3qH-_qgHHQI,2018-01-09,1639459,301645.0,22.547603777505692,0.22547603777505693,0.340905140049248,32.451388888888886,Normal,False
xVFYd1BQgGs,2018-02-15,1268923,272866.0,27.394616974731367,0.2739461697473137,0.17510912797703249,32.448883892399934,Normal,False
r65qzitj7vw,2018-01-08,921236,49640.0,5.6952991982524015,0.056952991982524015,2.2260311147197895,32.447185761356884,Normal,False
WEW4DESwnF8,2018-04-16,111090,25724.0,30.13377691352529,0.3013377691352529,0.0,32.444017379679146,Normal,False
Hx1Tdg6Mp64,2018-05-19,686676,131182.0,23.615376583725478,0.23615376583725478,0.30349102051040083,32.44069370172312,Normal,False
W6XqfoueuWQ,2018-01-14,167214,15294.0,10.067140600315955,0.10067140600315955,1.193081918978076,32.43573434883596,Normal,False
Xy-qsiE7Gro,2017-12-01,432625,47750.0,12.406625527768757,0.12406625527768757,0.8996243860156024,32.432905255766215,Normal,False
XXpUsJcL7CY,2017-12-09,242898,49923.0,25.87019043917606,0.2587019043917606,0.22313893074459237,32.43155147734025,Normal,False
7oqm94UfE7Q,2018-03-18,6471873,402239.0,6.627071747653977,0.06627071747653977,1.9341850496757276,32.43133541295306,Normal,False
kxFPItCfYjw,2017-12-21,464625,59861.0,14.78911167989248,0.1478911167989248,0.6953995157384988,32.431251012801816,Normal,False
Hk5dxn5dj2M,2018-04-25,8593086,0.0,0.0,0.0,3.8448701665501774,32.428290255496144,Normal,False
O8TdtAhzyJo,2018-01-08,134935,20166.0,17.570946858472237,0.17570946858472236,0.5469300033349391,32.42694322908227,Normal,False
ePO5M5DE01I,2017-11-15,37533416,1647662.0,4.591409727659617,0.045914097276596164,2.5478363067193244,32.42141333117269,Normal,False
dT7UQbDwWPM,2018-05-28,2069952,292918.0,16.483533798452928,0.1648353379845293,0.5999656030671242,32.418307405606875,Normal,False
vXAB9TQderw,2018-04-23,400488,28225.0,7.582005195251744,0.07582005195251744,1.699177004055053,32.41678820288446,Normal,False
cUEIWBXyFCw,2018-05-18,830487,37470.0,4.724993285137645,0.04724993285137644,2.486252042476282,32.39430062658673,Normal,False
p86oUHE2IFA,2018-06-11,1184057,16796.0,1.4389241138014548,0.014389241138014548,3.357861994819506,32.38808539944903,Normal,False
dUNeStFgxWs,2018-06-09,193960,0.0,0.0,0.0,3.8244998968859556,32.379270647653,Normal,False
labueHUmNFA,2018-01-19,690968,63459.0,10.112843003048562,0.10112843003048562,1.1779127253360504,32.37684329930319,Normal,False
Fs3ndz2gitw,2017-12-07,242258,40034.0,19.796858928712716,0.19796858928712716,0.4478696265964385,32.375681953222056,Normal,False
3n3L428I8MQ,2018-05-06,819426,0.0,0.0,0.0,3.8190147737562636,32.37191770647653,Normal,False
Cxqmu-EOdaQ,2018-03-06,8173737,979619.0,13.616943730975779,0.13616943730975778,0.7780529273207591,32.37134716145412,Normal,False
6VhtIJxeN7I,2017-12-19,536644,93506.0,21.10087602507571,0.2110087602507571,0.3931843084055724,32.37065170420785,Normal,False
tX1KEIwTH6U,2018-01-25,105476,18853.0,21.764427461528694,0.21764427461528693,0.3688042777503887,32.37003051909469,Normal,False
